regime,nest_mu,method,toll,n_seeds,mean_n,W_exp,W_exp_lo,W_exp_hi,W_perc,W_perc_lo,W_perc_hi,TCS_exp,TCS_perc,R,suppression_rate,suppression_lo,suppression_hi,mean_vot_suppressed,mean_vot_travelled,spo_sec
elastic,0.5,mixed|d0600e0200h0200,0.17,28,2990.964285714286,-1.6989199310709768,-1.70737588735728,-1.6905564548952756,-1.5354353114829358,-1.5438282712390499,-1.5265873672120558,-1.783760187674668,-1.6202755680866272,0.07070021383640929,0.04918384395894986,0.04751247462989701,0.0509650169236512,12.047205858845023,19.37855366582296,16.357658669615784
elastic,0.5,mixed|d0600e0200h0200,0.28,27,2991.4444444444443,-1.7155331812816035,-1.7276845394392104,-1.7042875024599047,-1.545615706539368,-1.5605404615312541,-1.5322371479280827,-1.8312641739024296,-1.6613466991601937,0.0964424938506882,0.09372533191716775,0.09051059220700973,0.09723439738286065,11.165356243167762,19.871519970509308,13.573522149792572
elastic,0.5,mixed|d0600e0200h0200,0.5,30,2991.5666666666666,-1.7604223412184938,-1.769122116309402,-1.751265374403371,-1.5775610385139704,-1.589711693821597,-1.5647007081612714,-1.908386493626819,-1.7255251909222955,0.12330346034027102,0.1731310519252415,0.16759072232206979,0.17819924274949492,11.667559027517802,20.6096706196192,10.018722961365086
elastic,0.3,davis_threshold,0.0,29,2990.4137931034484,-1.7555351443380804,-1.769303042510433,-1.7425735354513394,-1.6409478345823503,-1.6579889053306935,-1.6246441253488204,-1.7555351443380804,-1.6409478345823503,0.0,0.026213657864628755,0.023780694193840206,0.028925599466860248,18.902432413456168,19.073760881080982,23.09024548844715
elastic,0.3,davis_threshold,0.17,28,2990.964285714286,-1.7171337255683574,-1.7281850475382299,-1.706323503087124,-1.534406033566651,-1.5462577106605484,-1.522424674830435,-1.7968417102925085,-1.6141140182908018,0.066423320603459,0.05526128561994472,0.05266498905078084,0.057907648833902994,12.122877194957386,19.489965669387914,20.334839051495038
elastic,0.3,davis_threshold,0.28,29,2991.0344827586205,-1.7308133152061431,-1.7447145657377054,-1.7183944268274698,-1.5332608843663798,-1.5495767311780415,-1.5170702096026139,-1.8419106640971104,-1.6443582332573476,0.09258112407580646,0.0960655998730404,0.09059357851656229,0.10146513264320427,12.03932591535501,19.772947740621454,16.85937964258781
elastic,0.3,davis_threshold,0.5,29,2990.4137931034484,-1.790852697353934,-1.8038132213282756,-1.7781777378261658,-1.54768566738932,-1.5634707237146794,-1.5291098739346072,-1.9384578909585093,-1.695290860993895,0.12300432800381246,0.16794395588621508,0.16067462319205658,0.17488405308268168,12.20779564762736,20.515387503895873,13.478620040465069
elastic,0.3,ema,0.0,29,2977.5862068965516,-1.8726299742186698,-1.8885852204266156,-1.8577194340406864,-1.312326301618173,-1.3290425923955445,-1.2970280386818918,-1.8726299742186698,-1.312326301618173,0.0,0.05262873697662322,0.048077136638945445,0.05738090916384216,18.844441870472412,19.07573153044483,38.09914670797232
elastic,0.3,ema,0.17,29,2989.0,-1.8478376635816722,-1.860536428556714,-1.8351038886143198,-1.2870284595975874,-1.3010033690915948,-1.274295167722842,-1.93671367741136,-1.375904473427275,0.07406334485807327,0.08013857227418807,0.07496347231862777,0.08534210430446405,13.435566948630822,19.507336160066423,31.8539327362889
elastic,0.3,ema,0.28,29,2984.9655172413795,-1.837243775412646,-1.8524980078833484,-1.8235014173005213,-1.3100700129133904,-1.3284723583852103,-1.2924555625481133,-1.9706545231012156,-1.4434807606019597,0.11117562307380771,0.09817377443625391,0.09440446623954434,0.101889747472422,11.210226983294302,19.891426766035135,35.59037922515451
elastic,0.3,ema,0.5,30,3005.1,-1.7876588194734349,-1.8001740173422838,-1.7751959066640135,-1.4218924413928957,-1.4391657826350246,-1.4048038831395213,-1.9769836381756443,-1.6112172600951058,0.15777068225184143,0.16483020862869344,0.1605808463381689,0.16978266689571275,9.64734665533848,20.92664181738054,26.129825957208382
elastic,0.3,mixed|d0200e0600h0200,0.0,28,2992.6071428571427,-1.7750450262447217,-1.7865738823560227,-1.7633252813270521,-1.6467506619222727,-1.659937489711253,-1.6330950913774698,-1.7750450262447217,-1.6467506619222727,0.0,0.03106614346550398,0.028860499553030543,0.03297713825300188,19.438647481957933,19.03673231356533,18.285495199667295
elastic,0.3,mixed|d0200e0600h0200,0.17,30,2992.133333333333,-1.6994394173202803,-1.7114337805773314,-1.6881318540319663,-1.5358624210311438,-1.5455164939185906,-1.5269957328474102,-1.796169739361854,-1.632592743072718,0.08060860170131207,0.049641062037658924,0.04757480107676414,0.05165821170529469,11.878882001605582,19.378278909007072,15.32816317583238
elastic,0.3,mixed|d0200e0600h0200,0.28,29,2991.310344827586,-1.6876057257277144,-1.6989454736300789,-1.676337968418197,-1.5180334913465012,-1.5296695403688705,-1.5077115804239987,-1.821760572325732,-1.6521883379445186,0.11179570549834772,0.07801838598578707,0.07510426290160815,0.08101684112795346,10.445341439169114,19.712857718469415,13.731328921054658
elastic,0.3,mixed|d0200e0600h0200,0.5,30,2993.766666666667,-1.7432176089877516,-1.7534891056507238,-1.7327242842647128,-1.589228316209083,-1.5993392148905812,-1.5799301642878307,-1.9021048130544929,-1.7481155202758243,0.13240600338895117,0.17590446525568232,0.1717572913728622,0.17999873701429783,11.166560461578507,20.764575735876758,10.239681939229532
elastic,0.3,mixed|d0340e0330h0330,0.0,29,2990.7241379310344,-1.7713809840795727,-1.7844421723779869,-1.7595197247640864,-1.7005675890575247,-1.71112783616922,-1.6890476405226564,-1.7713809840795727,-1.7005675890575247,0.0,0.03371108490437445,0.031226918544206235,0.036183798818216255,19.105399428491854,18.971839610487248,13.193860115992177
elastic,0.3,mixed|d0340e0330h0330,0.17,29,2991.0344827586205,-1.688236798474131,-1.6940481552837132,-1.6819339473817665,-1.5685836963995106,-1.5764376360703682,-1.5610224282278655,-1.7823886040557997,-1.6627355019811794,0.07845983798472393,0.05379297961799217,0.051266472692584455,0.05664119875528869,12.2051342475344,19.492788152500147,10.95714056454162
elastic,0.3,mixed|d0340e0330h0330,0.28,30,2991.1666666666665,-1.7040193141157156,-1.7115585063550944,-1.6960186317170585,-1.573124432528364,-1.5824527667982604,-1.5637351210350887,-1.8261460020087166,-1.6952511204213647,0.1017722399108341,0.09740952250988127,0.09411414729334981,0.10091716295748755,10.865170601376706,20.009627182341266,10.531420182585034
