method,toll,d,e,h,pct,interaction,ci_lo,ci_hi,klass,mode,n
mixed|d0100e0000h0900,0.28,0.1,0.0,0.9,-0.22513607168446623,0.0038100536202100256,-0.006484085477661283,0.013878235908034763,linear,paired,25
mixed|d0100e0000h0900,0.5,0.1,0.0,0.9,-0.20292493964912686,0.0035319616491627038,-0.009281376155530477,0.016351960272947434,linear,paired,28
mixed|d0100e0900h0000,0.0,0.1,0.9,0.0,-1.4029491774285243,0.026010448430079807,0.005469025418656063,0.04716523409061754,super,paired,25
mixed|d0100e0900h0000,0.17,0.1,0.9,0.0,-1.8338031847636844,0.033781694550517806,0.00788648589257717,0.057278163662303455,super,paired,22
mixed|d0100e0900h0000,0.28,0.1,0.9,0.0,-2.595585654491246,0.047494012056096345,0.02402134553420869,0.07060699669443976,super,paired,24
mixed|d0100e0900h0000,0.5,0.1,0.9,0.0,-1.4230779265657363,0.025267689575765674,0.006202010528710348,0.0433967883173788,super,paired,29
mixed|d0150e0400h0450,0.0,0.15,0.4,0.45,0.14125752315201512,-0.002519971865159565,-0.014775548422320015,0.01155243417148495,linear,paired,24
mixed|d0150e0400h0450,0.17,0.15,0.4,0.45,-3.7082777191932865,0.06521415816267605,0.05117000312542858,0.08170072311002949,super,paired,27
mixed|d0150e0400h0450,0.28,0.15,0.4,0.45,-4.578959875805332,0.08037314847208639,0.0629855853604701,0.09594935981355024,super,paired,19
mixed|d0150e0400h0450,0.5,0.15,0.4,0.45,-0.8120818578240208,0.014275977242840111,0.0020215694345603647,0.028981266617764415,super,paired,22
mixed|d0150e0450h0400,0.0,0.15,0.45,0.4,-0.7241478366258297,0.01297006497438862,-0.006263506262092941,0.03332419595328369,linear,paired,21
mixed|d0150e0450h0400,0.17,0.15,0.45,0.4,-4.468758902943456,0.07896570926708227,0.061086093697814564,0.09511345534894643,super,paired,25
mixed|d0150e0450h0400,0.28,0.15,0.45,0.4,-4.762962900653721,0.08396664676018549,0.06672560028406527,0.10052200971497624,super,paired,22
mixed|d0150e0450h0400,0.5,0.15,0.45,0.4,-1.3091459816715647,0.023039591036997344,0.0012290636558818225,0.04432605315635946,super,paired,22
mixed|d0200e0350h0450,0.0,0.2,0.35,0.45,0.30870106903993305,-0.005488836830255139,-0.015600041386188332,0.0050846318935265505,linear,paired,24
mixed|d0200e0350h0450,0.17,0.2,0.35,0.45,-3.886937347552421,0.06806466716698562,0.052067990467376694,0.08268242155099864,super,paired,22
mixed|d0200e0350h0450,0.28,0.2,0.35,0.45,-4.096418425754074,0.07166582224325567,0.057227531532206534,0.08714024747104775,super,paired,22
mixed|d0200e0350h0450,0.5,0.2,0.35,0.45,-0.5303833422807501,0.009323343451401084,-0.006017932939604675,0.02350530367800757,linear,paired,25
mixed|d0200e0450h0350,0.0,0.2,0.45,0.35,-1.055537277156521,0.01891829327064818,-0.0018737424025682384,0.03887529528976663,linear,paired,23
mixed|d0200e0450h0350,0.17,0.2,0.45,0.35,-4.101476295493509,0.07251470901567643,0.05907548839154428,0.08656915784397941,super,paired,24
mixed|d0200e0450h0350,0.28,0.2,0.45,0.35,-4.74279686732684,0.0836984658910742,0.06743662742599567,0.09872846838121635,super,paired,23
mixed|d0200e0450h0350,0.5,0.2,0.45,0.35,-1.0730022556759187,0.01890354540386875,0.006724736954817688,0.030826100899508546,super,paired,25
mixed|d0250e0350h0400,0.0,0.25,0.35,0.4,0.786535198132666,-0.01399445418061759,-0.03174952437957565,0.0018975852162641577,linear,paired,28
mixed|d0250e0350h0400,0.17,0.25,0.35,0.4,-4.6163963005050235,0.08088233655443831,0.06453198724056267,0.09735444818436648,super,paired,26
mixed|d0250e0350h0400,0.28,0.25,0.35,0.4,-3.7218760595121,0.06518182643614663,0.052756641174400716,0.07820851451622704,super,paired,27
mixed|d0250e0350h0400,0.5,0.25,0.35,0.4,-1.2245082375183034,0.021547653802304556,0.00940242819742054,0.03317849156690342,super,paired,24
mixed|d0250e0400h0350,0.0,0.25,0.4,0.35,0.25612609521505675,-0.0045753782669940716,-0.023774810957919047,0.013917980108379201,linear,paired,23
mixed|d0250e0400h0350,0.17,0.25,0.4,0.35,-4.652571613615842,0.08190933573792751,0.0649279320254426,0.09820584574565339,super,paired,21
mixed|d0250e0400h0350,0.28,0.25,0.4,0.35,-4.501635162211915,0.07918166485720576,0.06532467176629285,0.09201702269792926,super,paired,25
mixed|d0250e0400h0350,0.5,0.25,0.4,0.35,-1.4187675360183791,0.02499365052752565,0.009359387739979975,0.04110808313253379,super,paired,24
mixed|d0300e0000h0700,0.0,0.3,0.0,0.7,-0.07951933767608378,0.001376159385516429,-0.011627778600653772,0.013968891897761364,linear,paired,25
mixed|d0300e0000h0700,0.17,0.3,0.0,0.7,0.3426728957649093,-0.005804412420753118,-0.019225072955510587,0.007834452206112626,linear,paired,26
mixed|d0300e0000h0700,0.28,0.3,0.0,0.7,0.60031539105048,-0.010203553409475619,-0.03445611828904555,0.013973124126180037,linear,paired,17
mixed|d0300e0000h0700,0.5,0.3,0.0,0.7,0.7244312478555437,-0.01266248219423914,-0.023071859661539892,-0.0036236139222146687,sub,paired,29
mixed|d0300e0700h0000,0.0,0.3,0.7,0.0,-2.183254952257067,0.03996079252688969,0.026315678576655458,0.05390216907881514,super,paired,23
mixed|d0300e0700h0000,0.17,0.3,0.7,0.0,-5.828628089287517,0.10562501772948328,0.0862824297332508,0.1259539558007387,super,paired,25
mixed|d0300e0700h0000,0.28,0.3,0.7,0.0,-5.909577848787375,0.10676341374171301,0.08901317869653476,0.12429987687228286,super,paired,23
mixed|d0300e0700h0000,0.5,0.3,0.7,0.0,-1.6256597078340858,0.02885828514344743,0.010917501420982152,0.04675161696323038,super,paired,25
mixed|d0500e0000h0500,0.0,0.5,0.0,0.5,0.48202231325633743,-0.008365207527471708,-0.028694369581480954,0.012067132285700308,linear,paired,22
mixed|d0500e0000h0500,0.17,0.5,0.0,0.5,0.2923532900316431,-0.00496321743195313,-0.011859090533398727,0.0013726088133528753,linear,paired,30
mixed|d0500e0000h0500,0.28,0.5,0.0,0.5,0.31982150625124733,-0.005459557371731596,-0.02244381986155617,0.010865462446906102,linear,paired,23
mixed|d0500e0000h0500,0.5,0.5,0.0,0.5,1.1070249237712895,-0.01943177253558289,-0.034373355075217896,-0.004199679455354962,sub,paired,23
mixed|d0500e0500h0000,0.0,0.5,0.5,0.0,-1.0446605926901433,0.01887365702503065,0.003939607119350926,0.03359432311572261,super,paired,26
mixed|d0500e0500h0000,0.17,0.5,0.5,0.0,-5.470390583533606,0.09749258220659852,0.08420273047841953,0.1102641045276666,super,paired,22
mixed|d0500e0500h0000,0.28,0.5,0.5,0.0,-4.54609739154222,0.08107663412098813,0.06512872409418306,0.09775520204739241,super,paired,23
mixed|d0500e0500h0000,0.5,0.5,0.5,0.0,-1.4216444575235772,0.025231082375661868,0.013276000482146484,0.03681219388182546,super,paired,27
mixed|d0700e0000h0300,0.0,0.7,0.0,0.3,0.30666757639665077,-0.005336882618230672,-0.023409957964728306,0.012954639098854822,linear,paired,26
mixed|d0700e0000h0300,0.17,0.7,0.0,0.3,0.16234626822043313,-0.002762308893505745,-0.015687281292253854,0.010850699455260297,linear,paired,25
mixed|d0700e0000h0300,0.28,0.7,0.0,0.3,1.0829369086513012,-0.018566183855832596,-0.03674861312028802,-0.002221240618995781,sub,paired,20
