kind,method,toll,pct,value,ci_lo,ci_hi,n,mode
selfishness_gap,mixed|d0000e0200h0800,0.17,103.19646874455184,1.0319646874455184,1.0225254130632206,1.0413957207739288,26,paired
selfishness_gap_vs_so,mixed|d0000e0200h0800,0.17,3.203174562622339,-0.05169249309510531,-0.06676669937373039,-0.03604868174734158,26,paired
selfishness_gap,mixed|d0000e0200h0800,0.28,104.12432713976597,1.0412432713976596,1.0330352679383321,1.0500510253288342,23,paired
selfishness_gap_vs_so,mixed|d0000e0200h0800,0.28,4.1353109826510766,-0.06669870351711442,-0.07981788909811283,-0.053963530484799536,23,paired
selfishness_gap,mixed|d0000e0200h0800,0.5,107.29128110035155,1.0729128110035155,1.0647939053459268,1.0810381824101376,29,paired
selfishness_gap_vs_so,mixed|d0000e0200h0800,0.5,7.290165774239576,-0.11728641087866744,-0.13001883332870529,-0.10523154557272904,29,paired
toll_gap,mixed|d0000e0200h0800,0.17,-63.134732169839374,-0.10659065705069425,-0.127984497431373,-0.08363126053197123,19,paired
toll_gap,mixed|d0000e0200h0800,0.28,-51.856511508954995,-0.08754958553125773,-0.11218925156298974,-0.06636114666725189,18,paired
toll_gap,mixed|d0000e0200h0800,0.5,-20.9387470321711,-0.03535098237169049,-0.057527408444412065,-0.014486690845230075,21,paired
toll_direct,mixed|d0000e0200h0800,0.17,-6.067439323579901,0.10793456618630663,0.09153717647139992,0.1237661904096569,26,paired
toll_direct,mixed|d0000e0200h0800,0.28,-5.364106474282722,0.0954228751870336,0.08047748220699426,0.11005928146716681,29,paired
toll_direct,mixed|d0000e0200h0800,0.5,-2.7747879942295084,0.04936110976045592,0.035215537836644065,0.062474956574905836,27,paired
second_best_toll,mixed|d0000e0200h0800,0.17,-6.067439323579901,0.10793456618630663,0.09162216667449558,0.12482074258300489,26,paired
selfishness_gap,mixed|d0000e0300h0700,0.0,110.57714189138082,1.1057714189138081,1.0949025601155593,1.1156375237227127,24,paired
selfishness_gap_vs_so,mixed|d0000e0300h0700,0.0,10.596697452134393,-0.170615749189469,-0.18685178190990068,-0.15389713225480464,24,paired
selfishness_gap,mixed|d0000e0300h0700,0.17,104.98127166577771,1.049812716657777,1.0386339622538003,1.0634657871687558,21,paired
selfishness_gap_vs_so,mixed|d0000e0300h0700,0.17,4.992362395245432,-0.0805662175442652,-0.10156997101222655,-0.06097194511977209,21,paired
selfishness_gap,mixed|d0000e0300h0700,0.28,104.56522256031211,1.045652225603121,1.035406031217944,1.055794066261883,22,paired
selfishness_gap_vs_so,mixed|d0000e0300h0700,0.28,4.566599779799541,-0.07365498896503897,-0.09050685419848685,-0.05622780473786194,22,paired
selfishness_gap,mixed|d0000e0300h0700,0.5,108.25025387696937,1.0825025387696936,1.0715269953414535,1.0935930328321302,29,paired
selfishness_gap_vs_so,mixed|d0000e0300h0700,0.5,8.23788805800439,-0.13253365608745057,-0.14815865924920377,-0.11541815965484019,29,paired
toll_gap,mixed|d0000e0300h0700,0.17,-45.07987684691461,-0.0752203709026187,-0.10057199225136966,-0.05278874581458258,12,paired
toll_gap,mixed|d0000e0300h0700,0.28,-51.4455417754881,-0.08584213188468896,-0.10668563086389536,-0.06436445476443493,12,paired
toll_gap,mixed|d0000e0300h0700,0.5,-15.87047703852029,-0.02648150910644503,-0.060037595268821076,0.003839374290958452,17,paired
toll_direct,mixed|d0000e0300h0700,0.17,-3.785607073048185,0.06726813195320397,0.053260382668645856,0.08174165460814,25,paired
